Ref,Mid X,Mid Y,Rotation,Layer
C1,31.124134,-24.026525,90,bottom
C2,45.724134,-51.126525,180,bottom
C3,94.31,0.26,90,bottom
C4,58.624134,-34.226525,90,bottom
C5,59.824134,-39.226525,0,bottom
C6,47.424134,-38.026525,180,bottom
C7,53.024134,-21.626525,-90,bottom
C8,61.974134,-39.776525,90,bottom
C9,60.224134,-40.626525,-90,bottom
C10,88.31,-6.64,0,bottom
C11,55.424134,-43.426525,-90,bottom
C12,45.724134,-47.926525,-90,bottom
C13,47.724134,-25.126525,0,bottom
C14,57.85,-32.015,90,bottom
C15,64.274134,-35.826525,90,bottom
C17,63.024134,-37.976525,0,bottom
C18,59,-36.11,0,bottom
C19,58.224134,-42.626525,0,bottom
C20,63.824134,-39.476525,0,bottom
C22,43.074134,-36.826525,-90,bottom
C23,65.424134,-38.526525,0,bottom
C24,56.124134,-39.901525,90,bottom
C25,41.124134,-42.726525,180,bottom
C26,51.824134,-38.226525,180,bottom
C27,43.524134,-40.326525,180,bottom
C28,50.224134,-46.726525,-90,bottom
C29,66.224134,-37.076525,0,bottom
C30,66.224134,-36.126525,0,bottom
C31,63.324134,-35.826525,-90,bottom
C32,42.624134,-32.526525,90,bottom
C33,76.96,-39.875,-90,bottom
C34,75.424134,-37.826525,180,bottom
C35,26.424134,-31.626525,180,bottom
C39,28.024134,-33.726525,180,bottom
C41,22.424134,-35.426525,-90,bottom
C43,92.224134,-31.626525,0,bottom
C44,35.424134,-33.426525,180,bottom
C45,15.924134,-38.626525,90,bottom
C46,70.224134,-44.226525,0,bottom
C47,70.924134,-46.626525,180,bottom
C50,58.224134,-44.226525,0,bottom
C51,19.224134,-29.326525,0,bottom
C52,12.039134,-45.546525,0,bottom
C53,20.924134,-31.086525,-90,bottom
C54,12.056634,-47.126525,0,bottom
C55,65.124134,-45.426525,90,bottom
C56,12.154134,-43.416525,0,bottom
C57,62.224134,-44.226525,180,bottom
C58,10.354134,-43.016525,90,bottom
C59,68.224134,-38.976525,90,bottom
C60,12.654134,-42.116525,0,bottom
C61,65.024134,-43.026525,0,bottom
C62,12.454134,-40.616525,0,bottom
C63,21.724134,-26.926525,-90,bottom
C65,60.624134,-42.626525,180,bottom
C67,76.024134,-46.126525,-90,bottom
C98,72.224134,-14.326525,-90,bottom
C100,66.724134,-34.226525,-90,bottom
C101,61.424134,-33.726525,0,bottom
C102,53.424134,-16.326525,0,bottom
C103,50.224134,-7.326525,-90,bottom
C104,54.224134,-14.726525,180,bottom
C105,65.724134,-34.226525,90,bottom
C106,60.424134,-34.726525,180,bottom
C108,45.324134,-20.326525,-90,bottom
C113,77.724134,-7.126525,-90,bottom
C114,68.224134,-43.826525,90,bottom
C115,84.834134,-39.921525,-90,bottom
C116,57.074134,-38.226525,-90,bottom
C117,57.024134,-34.226525,90,bottom
C118,55.024134,-37.026525,0,bottom
C119,67.424134,-46.226525,90,bottom
C120,79.504134,-23.610525,180,bottom
C121,64.124134,-45.426525,90,bottom
C122,70.224134,-33.826525,0,bottom
C123,79.324134,-46.126525,-90,bottom
C125,50.464134,-9.836525,-90,bottom
C126,50.424134,-13.826525,-90,bottom
C127,46.624134,-7.026525,180,bottom
C128,47.824134,-12.826525,180,bottom
C129,44.424134,-12.726525,-90,bottom
C130,47.824134,-14.326525,180,bottom
C131,45.764134,-13.036525,-90,bottom
D7,43.624134,-9.426525,180,bottom
FB1,55.074134,-38.226525,180,bottom
J8,32.124134,-43.026525,180,bottom
J401,87.3925,-64.23,180,bottom
J601,19.514134,-11.61,0,bottom
L1,49.024134,-22.426525,0,bottom
L3,46.624134,-42.626525,-90,bottom
L4,49.324134,-34.426525,0,bottom
Q1,90.024134,-29.326525,180,bottom
Q2,36.224134,-31.126525,90,bottom
Q3,86.024134,-26.626525,180,bottom
Q4,34.624134,-27.426525,-90,bottom
Q5,89.924134,-23.926525,180,bottom
Q6,32.324134,-31.126525,90,bottom
R1,53.024134,-41.326525,-90,bottom
R2,25.624134,-23.626525,0,bottom
R3,90.71,-8.14,90,bottom
R4,42.824134,-16.126525,0,bottom
R6,50.724134,-18.826525,-90,bottom
R7,50.724134,-16.926525,90,bottom
R8,49.324134,-15.926525,180,bottom
R9,58.624134,-37.526525,90,bottom
R10,58.224134,-41.226525,180,bottom
R11,92.224134,-29.326525,-90,bottom
R12,38.624134,-31.726525,90,bottom
R13,88.224134,-26.626525,-90,bottom
R14,34.124134,-25.126525,0,bottom
R15,92.124134,-23.926525,-90,bottom
R16,32.724134,-33.626525,180,bottom
R22,36.124134,-23.926525,-90,bottom
R25,44.124134,-10.626525,0,bottom
R29,22.824134,-24.926525,-90,bottom
R30,21.724134,-24.926525,90,bottom
R49,65.31,-11.49,180,bottom
R50,54.624134,-12.726525,90,bottom
R51,57.274134,-9.926525,180,bottom
R52,54.974134,-9.076525,180,bottom
R53,58.074134,-8.426525,180,bottom
R54,61.574134,-9.426525,0,bottom
R55,52.624134,-9.876525,180,bottom
R56,61.474134,-8.476525,0,bottom
R57,53.074134,-8.276525,180,bottom
R58,59.974134,-7.476525,0,bottom
R59,53.574134,-6.226525,90,bottom
R60,58.074134,-7.476525,180,bottom
R61,55.574134,-11.676525,-90,bottom
R62,56.024134,-8.126525,0,bottom
R63,54.974134,-10.026525,180,bottom
R64,58.074134,-6.526525,180,bottom
R65,54.974134,-7.176525,0,bottom
R66,60.624134,-10.726525,0,bottom
R67,52.624134,-10.826525,180,bottom
R68,56.724134,-11.326525,-90,bottom
R69,58.624134,-13.526525,-90,bottom
R70,57.674134,-12.376525,-90,bottom
R71,58.124134,-10.876525,180,bottom
R72,60.624134,-11.676525,0,bottom
R74,60.624134,-5.976525,0,bottom
R75,61.824134,-35.126525,90,bottom
R88,93.41,-5.24,90,bottom
R89,40.424134,-18.526525,0,bottom
R90,40.424134,-22.426525,0,bottom
R91,72.724134,-34.026525,-90,bottom
R92,81.574134,-39.176525,-90,bottom
R93,80.824134,-28.376525,90,bottom
R94,79.624134,-28.376525,90,bottom
R95,80.124134,-39.626525,0,bottom
R96,72.824134,-35.426525,0,bottom
R97,68.224134,-34.226525,-90,bottom
R98,81.424134,-25.826525,90,bottom
R99,27.124134,-35.326525,180,bottom
R100,77.35,-25.52,90,bottom
R101,44.624134,-7.626525,-90,bottom
R102,41.524134,-9.226525,90,bottom
R103,76.224134,-27.026525,90,bottom
R105,18.024134,-40.526525,0,bottom
R106,76.224134,-28.826525,0,bottom
R301,73.99,-2.5,180,bottom
R601,26.894134,-17.38,180,bottom
U1,28.624134,-23.626525,180,bottom
U2,28.624134,-27.326525,0,bottom
U3,50.624134,-42.626525,180,bottom
U4,88.71,-4.04,180,bottom
U5,48.924134,-18.826525,-90,bottom
U7,47.124134,-30.026525,-90,bottom
U8,47.464134,-9.836525,180,bottom
U9,17.124134,-34.426525,180,bottom
U18,79.324134,-25.826525,90,bottom
U19,80.224134,-33.826525,-90,bottom
C42,29.974134,-31.576525,180,top
C66,36.224134,-21.526525,0,top
C94,63.324134,-22.476525,180,top
C95,61.424134,-22.476525,180,top
C96,63.324134,-24.376525,180,top
C97,61.424134,-24.376525,180,top
C99,55.524134,-26.426525,-90,top
C107,33.94,-43.785,-90,top
C110,62.524134,-5.426525,90,top
C701,54.12,-52.94,180,top
C702,53.665,-56.715,90,top
CON1,90.824134,-46.126525,-90,top
D1,87.124134,-26.626525,180,top
D2,34.341096,-26.38101,-90,top
D4,48.624134,-37.576525,90,top
D701,55.89,-56.09,90,top
GT1,95.74,-13.06,-90,top
J3,5.23,-31.02,180,top
J701,40.935,-56,180,top
J702,120.96,-58.14,-90,top
L2,90.18,-0.29,180,top
L701,61.34,-56.45,180,top
Q8,46.074134,-38.376525,0,top
R5,73.424134,-33.111525,90,top
R19,92.624134,-28.626525,180,top
R20,92.624134,-26.626525,180,top
R21,92.624134,-24.626525,180,top
R23,34.324134,-21.526525,180,top
R24,32.324134,-21.526525,180,top
R26,34.324134,-45.226525,180,top
R33,74.524134,-34.126525,90,top
R47,63.314134,-23.436525,180,top
R48,61.424134,-23.436525,180,top
R73,62.624134,-10.826525,0,top
R76,50.524134,-35.826525,180,top
R77,43.874134,-37.926525,-90,top
R78,46.824134,-36.076525,0,top
R104,78.024134,-30.426525,-90,top
R701,67,-58.61,90,top
R702,64.48,-59.14,0,top
R703,20.904134,-1.69,-90,top
R704,9.464134,-1.5,-90,top
R705,22.344134,-1.71,90,top
R706,21.904134,-13.61,90,top
R707,8.164134,-1.59,90,top
R708,9.144134,-16.47,180,top
R709,7.524134,-12.94,0,top
R710,21.134134,-16.4,180,top
SW701,15.044134,-0.25,0,top
SW702,23.414134,-7.59,-90,top
SW703,6.564134,-7.59,90,top
SW704,15.054134,-14.96,0,top
U16,68.624134,-13.126525,180,top
U17,81.874134,-42.126525,90,top
U20,62.624134,-38.626525,-90,top
U23,32.599135,-41.351526,0,top
U701,66.9975,-55.45,90,top
